study_programme_name,hogeschool,study_programme_type,study_programme_location,study_programme_language,study_programme_length,text
informatica,Hogeschool Leiden,B,Leiden,Nederlands,4 jaar,webwinkel UX-engineering ICT-probleem UX-engineering ICT-probleem Informatica-vakken
biologie en medisch laboratoriumonderzoek,NHL Stenden Hogeschool,B,"Leeuwarden, Emmen",Nederlands,4 jaar,Stenden A NT NG A chromatografie medicijn
bouwkunde,NHL Stenden Hogeschool,B,Leeuwarden,Nederlands,4 jaar,spanjoletten klimbekisting termen assistent schrijfvaardigheid architectuurstijl onderzoeksvraagstuk
toegepaste wiskunde,NHL Stenden Hogeschool,B,Leeuwarden,Nederlands,4 jaar,voorspelling ondergrond wiskundevakken prognosemodellen Kansverdelingen Simulatiemodellen tijdreeksanalyse Stenden-minors
technische informatica,NHL Stenden Hogeschool,B,Emmen,Nederlands,4 jaar,hardwareplatforms C AI-concepten ontgrendel modelimplementatie extraheren benutten leerervaring beeldacquisitie patroonherkenning mini-supercomputer beeldsegmentatie objectdetectie stageprojecten droom systeem-engineering Stenden minorenfase Stenden
technische bedrijfskunde,NHL Stenden Hogeschool,B,Leeuwarden,Nederlands,4 jaar,studententijd NT NT rekenvaardigheid Organisatieontwikkeling respect LEAN-filosofie
ruimtelijke ontwikkeling,NHL Stenden Hogeschool,B,Leeuwarden,Nederlands,4 jaar,bus metro NT NT verkeerspsychologie klimaatbestendigheid RO-shop visualisatietechnieken basischrijfvaardigheid beleidskader overheidscommunicatie Geografie Planologie Stedenbouw
ocean technology,NHL Stenden Hogeschool,B,Terschelling,Nederlands,4 jaar,hydrografie NT NT hydrograaf geodesie dieptemetingen Manoeuvring dieptemeting fotoreportage survey waterpassing milieuwetenschap veiligheidsmaatregelen Environmental voyage multibeam echoloding waterbodem dieptemeter meetvaartuig Marine opnemingsvaartuig kaarten congres geologie dredging Subsea positioning GIMA/Geo-informatie
maritieme techniek,NHL Stenden Hogeschool,B,Leeuwarden,Nederlands,4 jaar,jachten containerschepen afmetingen lijnenplan hoofdafmetingen prijsbepaling trimmen ontwerpfase motor drinkwatersysteem vriessystemen rompvorm scheepsmodel sterkte-aspecten containerschip dossier koopvaardij gaswinning
maritiem officier,NHL Stenden Hogeschool,B,Terschelling,Nederlands,4 jaar,Stenden restaurant belading reparatie reparaties hydrauliek vloeistof tochten vaartijdverkorting vriestechniek ladingen fruit vlees vis praktijkvaren bedrijvendag Dredging shipsimulator
informatica,NHL Stenden Hogeschool,B,Emmen,Nederlands,4 jaar,gegevensmanipulatie foutdetectie debugging softwareoptimalisatie App-ontwikkeling UI/UX-ontwerp app-ontwikkeling teamomgeving kopje hieronder
hbo-ict,NHL Stenden Hogeschool,B,Leeuwarden,Nederlands,4 jaar,ICT-oplossingen webtechnologie organisatie-inrichting daarachter aluminiumfabriek Stenden bedrijfsuitdaging hbo-masteropleidingen
elektrotechniek,NHL Stenden Hogeschool,B,Leeuwarden,Nederlands,4 jaar,pedelec wedstrijd circuit telecommunicatie-ontwerp projectvaardigheden stage-opdracht Stenden
communication and multimedia design,NHL Stenden Hogeschool,B,Leeuwarden,Nederlands,4 jaar,designoplossingen Stenden-opleiding NT NT leertraject Film afstudeerfase
civiele techniek,NHL Stenden Hogeschool,B,Leeuwarden,Nederlands,4 jaar,denker rioleringen NT NT polder tekening begroting problematiek klimaatontwikkelingen waterbeheersing constructeur wegontwerper projectorganisaties
chemische technologie,NHL Stenden Hogeschool,B,Leeuwarden,Nederlands,4 jaar,dosis eigenschap reactoren technoloog site watertechnologie
chemie,NHL Stenden Hogeschool,B,"Leeuwarden, Emmen",Nederlands,4 jaar,Stenden Polymers Stenden
werktuigbouwkunde,NHL Stenden Hogeschool,B,"Leeuwarden, Emmen",Nederlands,4 jaar,werktuigen matrijs spuitgietmachines Polymers realiteit frituurolie
serious gaming,NHL Stenden Hogeschool,M,Leeuwarden,Nederlands,1 jaar,abstractie coördinator
computer vision & data science,NHL Stenden Hogeschool,M,Leeuwarden,Nederlands,1 jaar,inspectietaak classificatie smokkelwaar programmeercompetenties specificaties klantspecificaties schaalbaar inzetbaarheid contextniveau
design driven innovation,NHL Stenden Hogeschool,M,Leeuwarden,Nederlands,1 jaar,voedseltransitie verdeling docent-onderzoekers mailtje aanleiding expertcolleges
marine shipping innovations,NHL Stenden Hogeschool,M,Terschelling,Nederlands,2 jaar,scheepvaart beroepssituatie kernmodules opleidingscompetenties moduleopdrachten
